Date,Time,Open,High,Low,Close,Volume,
2015.03.10,0:00,1.08519,1.08551,1.06674,1.06787,212454,
2015.03.11,0:00,1.06785,1.0716,1.051,1.05438,239275,
2015.03.12,0:00,1.05437,1.06829,1.04931,1.06235,244063,
2015.03.13,0:00,1.06235,1.06337,1.04612,1.04925,195530,
2015.03.16,0:00,1.04857,1.06183,1.04782,1.05662,161797,
2015.03.17,0:00,1.05661,1.06497,1.05502,1.05963,149635,
2015.03.18,0:00,1.05962,1.10462,1.05789,1.08282,220605,
2015.03.19,0:00,1.08283,1.09184,1.06119,1.06556,273383,
2015.03.20,0:00,1.06558,1.0881,1.06544,1.08162,195429,
2015.03.23,0:00,1.08666,1.09702,1.07663,1.09441,236190,
2015.03.24,0:00,1.09444,1.10282,1.08895,1.09178,207115,
2015.03.25,0:00,1.09174,1.10137,1.08998,1.09706,183667,
2015.03.26,0:00,1.09712,1.10511,1.08553,1.08736,218340,
2015.03.27,0:00,1.08737,1.0948,1.07999,1.08958,196156,
2015.03.30,0:00,1.08882,1.08941,1.08088,1.08237,177564,
2015.03.31,0:00,1.08239,1.08441,1.07118,1.074,195267,
2015.04.01,0:00,1.074,1.07987,1.07174,1.07654,191754,
2015.04.02,0:00,1.07652,1.09041,1.07492,1.0878,167582,
2015.04.03,0:00,1.08788,1.10259,1.08628,1.09684,93601,
2015.04.06,0:00,1.09931,1.10345,1.09087,1.09337,98963,
2015.04.07,0:00,1.09333,1.09538,1.08022,1.08104,178199,
2015.04.08,0:00,1.08102,1.08865,1.07623,1.07805,200499,
2015.04.09,0:00,1.0781,1.07877,1.06364,1.06606,194836,
2015.04.10,0:00,1.06606,1.06826,1.05668,1.05951,181443,
2015.04.13,0:00,1.05942,1.06182,1.05193,1.05672,206640,
2015.04.14,0:00,1.05671,1.07063,1.05304,1.06542,203620,
2015.04.15,0:00,1.06541,1.0701,1.05698,1.06777,230619,
2015.04.16,0:00,1.06782,1.08168,1.06235,1.07633,262087,
2015.04.17,0:00,1.07632,1.08478,1.07326,1.08066,225269,
2015.04.20,0:00,1.08116,1.08174,1.07113,1.0738,178184,
2015.04.21,0:00,1.0738,1.07803,1.06586,1.0737,188444,
2015.04.22,0:00,1.0737,1.07998,1.07075,1.07206,194595,
2015.04.23,0:00,1.07207,1.08447,1.06647,1.08205,208735,
2015.04.24,0:00,1.08206,1.0899,1.07835,1.08646,204507,
2015.04.27,0:00,1.08659,1.09255,1.08182,1.08823,159250,
2015.04.28,0:00,1.08823,1.09898,1.08588,1.09752,167863,
2015.04.29,0:00,1.09765,1.11868,1.09585,1.11156,210646,
2015.04.30,0:00,1.11165,1.12653,1.10702,1.12139,225988,
2015.05.01,0:00,1.1214,1.12891,1.11735,1.12079,151613,
2015.05.04,0:00,1.1192,1.12236,1.11216,1.11476,137496,
2015.05.05,0:00,1.1148,1.12232,1.10663,1.11864,162077,
2015.05.06,0:00,1.11864,1.13703,1.11749,1.13428,193811,
2015.05.07,0:00,1.1343,1.13918,1.12373,1.1252,192669,
2015.05.08,0:00,1.12521,1.12896,1.11791,1.12074,183491,
2015.05.11,0:00,1.12012,1.12046,1.1131,1.11519,151640,
